"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"C,1,EB","C","1","EB","Native","42","4","2","Pa4-Pa2","4752.32",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","43","4","3","Pha1-Pa4","3731.17",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","41","4","1","Pha2-Pha1","3858.00",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","44","4","4","Pa5-Pha1","3868.16",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","21","2","1","Pha5-Pha1","3485.46",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","24","2","4","Pa4-Pha1","3309.74",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","22","2","2","Pa5-Pa2","3684.63",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","23","2","3","Pha2-Pa4","3329.54",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","13","1","3","Pha1-Pa2","3633.59",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","14","1","4","Pa2-Pha5","3721.86",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","12","1","2","Pa2-Pa4","3675.00",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","11","1","1","Pha1-Pha2","3417.50",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","31","3","1","Pha2-Pha5","3302.44",1,"Same","Same","CR"
"C,1,EB","C","1","EB","Native","33","3","3","Pha5-Pa5","3790.99",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","34","3","4","Pa2-Pha2","4306.87",1,"Different","Different","Hit"
"C,1,EB","C","1","EB","Native","32","3","2","Pa4-Pa5","3432.92",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","12","1","2","Pa2-Pa4","3342.21",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","13","1","3","Pha1-Pa2","3285.74",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","14","1","4","Pa2-Pha5","-3423.42",0,"Different","Same","Miss"
"D,1,ZL","D","1","ZL","Native","11","1","1","Pha1-Pha2","3349.23",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","34","3","4","Pa2-Pha2","3443.05",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","32","3","2","Pa4-Pa5","3107.92",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","33","3","3","Pha5-Pa5","3410.30",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","31","3","1","Pha2-Pha5","2873.31",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","24","2","4","Pa4-Pha1","3363.56",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","22","2","2","Pa5-Pa2","3077.06",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","21","2","1","Pha5-Pha1","3187.40",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","23","2","3","Pha2-Pa4","4563.69",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","43","4","3","Pha1-Pa4","4144.57",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","42","4","2","Pa4-Pa2","3479.60",1,"Same","Same","CR"
"D,1,ZL","D","1","ZL","Native","44","4","4","Pa5-Pha1","3123.42",1,"Different","Different","Hit"
"D,1,ZL","D","1","ZL","Native","41","4","1","Pha2-Pha1","2922.68",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","23","2","3","Pha2-Pa4","-3610.61",0,"Different","Same","Miss"
"D,2,IL","D","2","IL","Native","22","2","2","Pa5-Pa2","3687.85",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","21","2","1","Pha5-Pha1","3797.34",1,"Same","Same","CR"
"D,2,IL","D","2","IL","Native","24","2","4","Pa4-Pha1","4866.88",1,"Different","Different","Hit"
